album,artist,track_name,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,temp,time_signature
Highway 61 Revisited,Bob Dylan,Like a Rolling Stone,spotify:track:3AhXZa8sUQht0UEdBJgpGc,369600,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
Highway 61 Revisited,Bob Dylan,Tombstone Blues,spotify:track:5JqsRFZYDtIK5Rgeuzd2Jv,356227,0.504,0.808,11,-7.25,1,0.0584,0.408,0,0.316,0.653,123.866,4
Highway 61 Revisited,Bob Dylan,It Takes a Lot to Laugh - It Takes a Train to Cry,spotify:track:2yaf46YMxA5y6bzmWUKgXC,245133,0.493,0.579,8,-7.743,1,0.0319,0.772,8.06E-05,0.0759,0.475,93.353,4
Highway 61 Revisited,Bob Dylan,From a Buick 6,spotify:track:6txGFpco4cfgG1sA1MxLCp,195693,0.287,0.72,0,-6.231,1,0.0347,0.756,3.41E-06,0.263,0.709,176.302,4
Highway 61 Revisited,Bob Dylan,Ballad of a Thin Man,spotify:track:0f5N14nB8xi0p3o4BlVvbx,356707,0.473,0.574,11,-8.189,0,0.032,0.695,0,0.509,0.499,74.056,4
Highway 61 Revisited,Bob Dylan,Queen Jane Approximately,spotify:track:0c2DAekH6ZEnHhf8dM1leK,327467,0.369,0.691,0,-6.234,1,0.0387,0.778,1.39E-05,0.327,0.382,104.371,4
Highway 61 Revisited,Bob Dylan,Highway 61 Revisited,spotify:track:6os5B6xjuke9YfBKH3tu1e,205827,0.49,0.808,10,-6.725,1,0.0409,0.475,0,0.232,0.604,73.434,4
Highway 61 Revisited,Bob Dylan,Just Like Tom Thumb's Blues,spotify:track:0V1771LhL3tG36pb55EZAH,327560,0.497,0.511,7,-8.318,1,0.0271,0.702,0,0.262,0.591,99.5,4
Highway 61 Revisited,Bob Dylan,Desolation Row,spotify:track:4n1ZGm3TxYmoYe1YR8cMus,681400,0.432,0.605,4,-6.941,1,0.0306,0.673,0,0.129,0.647,109.227,4
Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,spotify:track:4fUKE8EULjQdHF4zb0M8FO,369600,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,With A Little Help From My Friends - Remastered 2009,spotify:track:2RnPATK99oGOZygnD2GTO6,356227,0.504,0.808,11,-7.25,1,0.0584,0.408,0,0.316,0.653,123.866,4
Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,Lucy In The Sky With Diamonds - Remastered 2009,spotify:track:25yQPHgC35WNnnOUqFhgVR,245133,0.493,0.579,8,-7.743,1,0.0319,0.772,8.06E-05,0.0759,0.475,93.353,4
Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,Getting Better - Remastered 2009,spotify:track:3LtOmWpTXLhilL5odoKysR,195693,0.287,0.72,0,-6.231,1,0.0347,0.756,3.41E-06,0.263,0.709,176.302,4
