album,artist,track_name,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,temp,time_signature
Oops!... I Did It Again,Britney Spears,Oops!...I Did It Again,spotify:track:6naxalmIoLFWR0siv8dnQQ,211160,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,4
Oops!... I Did It Again,Britney Spears,Stronger,spotify:track:5QhBKPqsnX1uY9fZNaAtZg,203000,0.707,0.923,11,-3.957,1,0.0521,0.128,0.000437,0.273,0.842,108.049,4
Oops!... I Did It Again,Britney Spears,Don't Go Knockin' on My Door,spotify:track:3HTkB9Nk04MJHkG0X6cL2R,223533,0.808,0.761,10,-5.614,0,0.0512,0.23,0,0.674,0.92,110.965,4
Oops!... I Did It Again,Britney Spears,(I Can't Get No) Satisfaction,spotify:track:23dIvJu0yfes1JRFut1NMQ,263453,0.905,0.657,11,-4.901,1,0.0376,0.0827,3.17e-05,0.173,0.659,110.001,4
Oops!... I Did It Again,Britney Spears,Don't Let Me Be the Last to Know,spotify:track:3OitWDgR4SzAUOm3TBmvhw,230933,0.632,0.756,4,-6.567,1,0.0417,0.159,0,0.273,0.713,138.96,4
Oops!... I Did It Again,Britney Spears,What U See (Is What U Get),spotify:track:41cQPDvsP9vBCigVqQjnqg,216707,0.847,0.801,9,-3.838,1,0.0564,0.0876,0.000204,0.766,0.841,93.189,4
Oops!... I Did It Again,Britney Spears,Lucky,spotify:track:2TTYIwTM2iLC1YOyHuhRMt,206227,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,4
Oops!... I Did It Again,Britney Spears,One Kiss from You,spotify:track:5iW9Y4seDbBgIchT0ANY3q,203280,0.732,0.888,7,-2.415,1,0.0792,0.0702,2.74e-06,0.379,0.674,93.993,4
Oops!... I Did It Again,Britney Spears,Where Are You Now,spotify:track:4MOBPIIRUgHTBAp0NpgLTm,279387,0.636,0.489,9,-8.098,1,0.0263,0.337,0,0.291,0.297,125.616,4
Oops!... I Did It Again,Britney Spears,Can't Make You Love Me,spotify:track:7pY6xLJqmezJNG7VwuKVSH,197187,0.81,0.924,0,-4.02,0,0.0356,0.119,8.73e-05,0.149,0.868,108.016,4
Oops!... I Did It Again,Britney Spears,When Your Eyes Say It,spotify:track:30hSG0Is8yOGkFQtF20Lxu,269773,0.693,0.625,7,-7.147,1,0.0431,0.0553,0,0.659,0.439,86.039,4
Oops!... I Did It Again,Britney Spears,Dear Diary,spotify:track:1NmjzfxyAN9u5EaqHk1uIY,166653,0.498,0.155,3,-14.282,1,0.0341,0.811,0,0.166,0.28,127.57,4
Bleed American,Jimmy Eat World,Bleed American,spotify:track:61XspFITuKmAlYdQacNCbF,211160,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,4
Bleed American,Jimmy Eat World,A Praise Chorus,spotify:track:0n7d3no0cHnsnkgfFzDuj4,203000,0.707,0.923,11,-3.957,1,0.0521,0.128,0.000437,0.273,0.842,108.049,4
