album,artist,track_name,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,temp,time_signature
Nevermind,Nirvana,Smells Like Teen Spirit,spotify:track:5ghIJDpPoe3CfHMGu71E6T,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4
Nevermind,Nirvana,In Bloom - Nevermind Version,spotify:track:30HCB1FoE77IfGRyNv4eFq,255080,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,4
Nevermind,Nirvana,Come As You Are,spotify:track:4P5KoWXOxwuobLmHXLMobV,218920,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
Nevermind,Nirvana,Breed,spotify:track:5mJGLBNJM0GULqAoL5mb9C,184040,0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,4
Nevermind,Nirvana,Lithium,spotify:track:2YodwKJnbPyNKe8XXSE9V7,257053,0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
Nevermind,Nirvana,Polly,spotify:track:3tlXDvaNrrOmdvG0XVUOcv,173853,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,4
Nevermind,Nirvana,Territorial Pissings,spotify:track:2jmVGWe4MYY1zAAzpFHHcC,142947,0.285,0.979,2,-4.428,1,0.175,0.000144,0,0.334,0.108,182.7,4
Nevermind,Nirvana,Drain You,spotify:track:5Ddlk6C2JVxb1SReZ6O1wk,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
Nevermind,Nirvana,Lounge Act,spotify:track:7glld4kxYHp61zIPtSVHNk,156427,0.341,0.964,11,-5.327,0,0.107,1.26e-05,0.000103,0.151,0.459,152.192,4
Nevermind,Nirvana,Stay Away,spotify:track:4l012k8ZcAdVbUvZ4kae5Q,211440,0.367,0.981,11,-5.1,0,0.128,5.39e-06,0.0461,0.0822,0.205,165.21,4
Nevermind,Nirvana,On A Plain,spotify:track:651koV4RRMMX6NDbW1ElwP,194427,0.428,0.946,2,-4.674,1,0.102,0.000119,3.37e-06,0.141,0.358,133.26,4
Nevermind,Nirvana,Something In The Way,spotify:track:1nFtiJxYdhtFfFtfXBv06s,232147,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
Nevermind,Nirvana,Endless Nameless,spotify:track:0vNHCXmNzVa8h54SE3JDm7,403293,0.271,0.959,7,-5.866,1,0.125,0.000256,0.854,0.0858,0.0642,131.846,4
Ten,Pearl Jam,NI BIEN NI MAL,spotify:track:278kSqsZIiYp8p3QjYAqa8,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4
Ten,Pearl Jam,200 Mph,spotify:track:5jGUJXnELDaDTgiRjD9lsg,255080,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,4
Ten,Pearl Jam,¿Quien Tu Eres?,spotify:track:6kN06eEOblRAuWI0xUUS91,218920,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
Ten,Pearl Jam,Caro,spotify:track:6it15CsDlkqB7N4lF0C1qM,184040,0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,4
Ten,Pearl Jam,Tenemos Que Hablar,spotify:track:5VQpJ2AY2iMzrRZKgcvNjh,257053,0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
Ten,Pearl Jam,Otra Noche en Miami,spotify:track:4vCAzANUWDE24URV6wQ4ra,173853,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,4
Ten,Pearl Jam,Ser Bichote,spotify:track:4UEuIEv9Wc3wtiWUplGJ7q,142947,0.285,0.979,2,-4.428,1,0.175,0.000144,0,0.334,0.108,182.7,4
Ten,Pearl Jam,Si Estuviésemos Juntos,spotify:track:35wvL50xvKpCHEJPxLOLPI,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
Ten,Pearl Jam,Solo de Mi,spotify:track:4uP3pUP18ennmz0tb3GphR,156427,0.341,0.964,11,-5.327,0,0.107,1.26e-05,0.000103,0.151,0.459,152.192,4
Ten,Pearl Jam,Cuando Perriabas,spotify:track:5mj8WVFcKdGA8p9HWGTSLc,211440,0.367,0.981,11,-5.1,0,0.128,5.39e-06,0.0461,0.0822,0.205,165.21,4
Ten,Pearl Jam,La Romana,spotify:track:1khmgu0pveJbkbpbkyvcQv,194427,0.428,0.946,2,-4.674,1,0.102,0.000119,3.37e-06,0.141,0.358,133.26,4
Ten,Pearl Jam,Como Antes,spotify:track:69ZaPBHhRMRDjRpW1ivnOU,232147,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
Ten,Pearl Jam,RLNDT,spotify:track:6pZHZndlo57dPCYnvlYFOE,403293,0.271,0.959,7,-5.866,1,0.125,0.000256,0.854,0.0858,0.0642,131.846,4
Ten,Pearl Jam,Estamos Bien,spotify:track:2OWVCFTolecLiGZPquvWvT,236216,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,4
Ten,Pearl Jam,MIA,spotify:track:3gE4eQH3K83Sght0ZLvuBK,170509,0.85,0.5,8,-6.708,1,0.0665,0.0139,0.000384,0.0947,0.816,160.02,4
The Chronic,Dr. Dre,Za Intro,spotify:track:3ly55KcHynFmnLC4rIS1I9,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4
The Chronic,Dr. Dre,Papercuts,spotify:track:7DuQR4z7LlwRwc8me77lQE,255080,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,4
The Chronic,Dr. Dre,Petrified Life and the Twice Told Joke (Decrepit Bricks),spotify:track:6j6gfFkEN7i3bcK420MXY7,218920,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
The Chronic,Dr. Dre,Make Out Club,spotify:track:1dAoX0xlJNHplf2XnajfyV,184040,0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,4
The Chronic,Dr. Dre,Taxi Driver,spotify:track:3pPRpc4h3EpfmPFlmRLa3w,257053,0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
The Chronic,Dr. Dre,So Long Friend,spotify:track:7aQ9c2MuMtqKIFWYQ3lkHn,173853,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,4
The Chronic,Dr. Dre,Everyday's Forecast,spotify:track:76m0jeFQOPdhWWw8ajFtTk,142947,0.285,0.979,2,-4.428,1,0.175,0.000144,0,0.334,0.108,182.7,4
The Chronic,Dr. Dre,Pillmatic,spotify:track:0PKJVwHrtTvzb1s5dLnQj9,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
The Chronic,Dr. Dre,Simple Livin',spotify:track:7yUjVFImNSJSWa5lKXcGsK,156427,0.341,0.964,11,-5.327,0,0.107,1.26e-05,0.000103,0.151,0.459,152.192,4
The Chronic,Dr. Dre,Cupid's Chokehold / Breakfast in America,spotify:track:2Lhdl74nwwVGOE2Gv35QuK,211440,0.367,0.981,11,-5.1,0,0.128,5.39e-06,0.0461,0.0822,0.205,165.21,4
The Chronic,Dr. Dre,Faces in the Hall,spotify:track:1jQlUGewes2CPhjF1STyIV,194427,0.428,0.946,2,-4.674,1,0.102,0.000119,3.37e-06,0.141,0.358,133.26,4
The Chronic,Dr. Dre,Graduation Day,spotify:track:1TlrTt4I1cS2f5t2NHT4sf,232147,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
The Chronic,Dr. Dre,Apollo 3-1-5,spotify:track:0h6ag2uagWHjZoJayuoVSa,403293,0.271,0.959,7,-5.866,1,0.125,0.000256,0.854,0.0858,0.0642,131.846,4
