album,artist,track_name,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,temp,time_signature
My Beautiful Dark Twisted Fantasy,Kanye West,Dark Fantasy,spotify:track:7yNK27ZTpHew0c55VvIJgm,280787,0.599,0.587,5,-5.919,1,0.0423,0.274,0,0.167,0.373,87.998,4
My Beautiful Dark Twisted Fantasy,Kanye West,Gorgeous,spotify:track:23SZWX2IaDnxmhFsSLvkG2,357653,0.598,0.713,6,-3.625,0,0.0326,0.0207,0.000175,0.431,0.118,91.964,4
My Beautiful Dark Twisted Fantasy,Kanye West,POWER,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,292093,0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4
My Beautiful Dark Twisted Fantasy,Kanye West,All Of The Lights (Interlude),spotify:track:4D6TpthzUVNTjWQqfBW5Kb,62253,0.296,0.0792,10,-16.569,0,0.0389,0.902,0.591,0.128,0.496,110.95,3
My Beautiful Dark Twisted Fantasy,Kanye West,All Of The Lights,spotify:track:22L7bfCiAkJo5xGSQgmiIO,299613,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,4
My Beautiful Dark Twisted Fantasy,Kanye West,Monster,spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK,378893,0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.668,0.0963,124.887,5
My Beautiful Dark Twisted Fantasy,Kanye West,So Appalled,spotify:track:6K07Ahf6V7CAQn0ikrOztl,397667,0.64,0.754,1,-5.873,0,0.283,0.255,0,0.63,0.584,87.15,4
My Beautiful Dark Twisted Fantasy,Kanye West,Devil In A New Dress,spotify:track:1UGD3lW3tDmgZfAVDh6w7r,351947,0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,4
My Beautiful Dark Twisted Fantasy,Kanye West,Runaway,spotify:track:3DK6m7It6Pw857FcQftMds,547733,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,4
My Beautiful Dark Twisted Fantasy,Kanye West,Hell Of A Life,spotify:track:3rCNmRonlHN1TXQLcG3dSk,327787,0.449,0.813,8,-5.478,1,0.129,0.00142,0.000172,0.106,0.452,177.962,4
My Beautiful Dark Twisted Fantasy,Kanye West,Blame Game,spotify:track:4EndPA8b6FDWYp1RgsnLEB,469867,0.419,0.581,10,-5.964,0,0.0688,0.306,6.3e-05,0.11,0.636,80.305,1
My Beautiful Dark Twisted Fantasy,Kanye West,Lost In The World,spotify:track:2Im64pIz6m0EJKdUe6eZ8r,256587,0.608,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072,4
My Beautiful Dark Twisted Fantasy,Kanye West,Who Will Survive In America,spotify:track:4e5IPJxSGVWPsaxQzdRseN,98200,0.677,0.842,1,-6.111,1,0.36,0.228,0.000684,0.856,0.595,116.166,4
Lemonade,Beyoncé,Pray You Catch Me,spotify:track:7rLDARtJALM7QdiJDMXW7m,280787,0.599,0.587,5,-5.919,1,0.0423,0.274,0,0.167,0.373,87.998,4
Lemonade,Beyoncé,Hold Up,spotify:track:0rzNMzZsubFcXSEh7dnem7,357653,0.598,0.713,6,-3.625,0,0.0326,0.0207,0.000175,0.431,0.118,91.964,4
Lemonade,Beyoncé,Don't Hurt Yourself (feat. Jack White),spotify:track:78eouBKVRyhbSzJwChr6QM,292093,0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4
Lemonade,Beyoncé,Sorry,spotify:track:0lnIJmgcUpEpe4AZACjayW,62253,0.296,0.0792,10,-16.569,0,0.0389,0.902,0.591,0.128,0.496,110.95,3
Lemonade,Beyoncé,6 Inch (feat. The Weeknd),spotify:track:0pxNyJJiL2zZZ5GgJ4JhsQ,299613,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,4
Lemonade,Beyoncé,Daddy Lessons,spotify:track:71OvX5NNLrmz7rpq1ANTQn,378893,0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.668,0.0963,124.887,5
Lemonade,Beyoncé,Love Drought,spotify:track:2RQAG0wQt35UzAPEyVJFWN,397667,0.64,0.754,1,-5.873,0,0.283,0.255,0,0.63,0.584,87.15,4
Lemonade,Beyoncé,Sandcastles,spotify:track:2FNPJWVdGxYhWaotd6rULS,351947,0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,4
Lemonade,Beyoncé,Forward (feat. James Blake),spotify:track:2bOWJIYSbhwg2NMQq1QMYH,547733,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,4
Lemonade,Beyoncé,Freedom (feat. Kendrick Lamar),spotify:track:7aBxcRw77817BrkdPChAGY,327787,0.449,0.813,8,-5.478,1,0.129,0.00142,0.000172,0.106,0.452,177.962,4
Lemonade,Beyoncé,All Night,spotify:track:7oAuqs6akGnPU3Tb00ZmyM,469867,0.419,0.581,10,-5.964,0,0.0688,0.306,6.3e-05,0.11,0.636,80.305,1
Lemonade,Beyoncé,Formation,spotify:track:6g0Orsxv6glTJCt4cHsRsQ,256587,0.608,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072,4
Lemonade,Beyoncé,Sorry - Original Demo,spotify:track:6eR1N0EBHiDkGDzegX99d3,98200,0.677,0.842,1,-6.111,1,0.36,0.228,0.000684,0.856,0.595,116.166,4
To Pimp A Butterfly,Kendrick Lamar,Wesley's Theory,spotify:track:7Ks4VCY1wFebnOdJrM13t6,280787,0.599,0.587,5,-5.919,1,0.0423,0.274,0,0.167,0.373,87.998,4
To Pimp A Butterfly,Kendrick Lamar,For Free? - Interlude,spotify:track:75izAeHlGuOgA865CFDyIv,357653,0.598,0.713,6,-3.625,0,0.0326,0.0207,0.000175,0.431,0.118,91.964,4
To Pimp A Butterfly,Kendrick Lamar,King Kunta,spotify:track:0N3W5peJUQtI4eyR6GJT5O,292093,0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4
To Pimp A Butterfly,Kendrick Lamar,Institutionalized,spotify:track:4oFtLSgHyZPNYDCcANhTnO,62253,0.296,0.0792,10,-16.569,0,0.0389,0.902,0.591,0.128,0.496,110.95,3
To Pimp A Butterfly,Kendrick Lamar,These Walls,spotify:track:7uWVT3UkCAZyANvv0bdyQn,299613,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,4
